Gene Names,Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (molecular function),Protein families
DLST,2-oxoglutarate metabolic process ; generation of precursor metabolites and energy ; L-lysine catabolic process to acetyl-CoA via saccharopine ; succinyl-CoA metabolic process ; tricarboxylic acid cycle ,cytosol ; membrane ; mitochondrial matrix ; mitochondrion ; nucleoplasm ; nucleus ; oxoadipate dehydrogenase complex ; oxoglutarate dehydrogenase complex ,acyltransferase activity ; dihydrolipoyllysine-residue succinyltransferase activity ,2-oxoacid dehydrogenase family
DLTS,2-oxoglutarate metabolic process ; generation of precursor metabolites and energy ; L-lysine catabolic process to acetyl-CoA via saccharopine ; succinyl-CoA metabolic process ; tricarboxylic acid cycle ,cytosol ; membrane ; mitochondrial matrix ; mitochondrion ; nucleoplasm ; nucleus ; oxoadipate dehydrogenase complex ; oxoglutarate dehydrogenase complex ,acyltransferase activity ; dihydrolipoyllysine-residue succinyltransferase activity ,2-oxoacid dehydrogenase family
DLX1,cell differentiation ; cellular response to BMP stimulus ; cellular response to transforming growth factor beta stimulus ; cerebral cortex GABAergic interneuron fate commitment ; embryonic skeletal system development ; hippocampus development ; negative regulation of BMP signaling pathway ; negative regulation of cellular response to transforming growth factor beta stimulus ; negative regulation of neuron apoptotic process ; negative regulation of Notch signaling pathway ; negative regulation of oligodendrocyte differentiation ; negative regulation of photoreceptor cell differentiation ; negative regulation of transcription by RNA polymerase II ; neuroblast differentiation ; neuron apoptotic process ; Notch signaling pathway ; odontogenesis of dentin-containing tooth ; oligodendrocyte differentiation ; positive regulation of amacrine cell differentiation ; positive regulation of cell differentiation ; positive regulation of transcription by RNA polymerase II ; proximal/distal pattern formation ; regulation of transcription by RNA polymerase II ; subpallium development ,chromatin ; cytosol ; intracellular membrane-bounded organelle ; nucleoplasm ; nucleus ,"chromatin binding ; DNA-binding transcription factor activity, RNA polymerase II-specific ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific double-stranded DNA binding ",Distal-less homeobox family
DLX2,brain development ; branching morphogenesis of a nerve ; cartilage development ; cell differentiation ; cerebral cortex GABAergic interneuron fate commitment ; embryonic cranial skeleton morphogenesis ; embryonic skeletal system development ; hippocampus development ; negative regulation of Notch signaling pathway ; negative regulation of oligodendrocyte differentiation ; negative regulation of photoreceptor cell differentiation ; negative regulation of transcription by RNA polymerase II ; neuroblast differentiation ; Notch signaling pathway ; odontogenesis of dentin-containing tooth ; olfactory bulb development ; oligodendrocyte differentiation ; positive regulation of amacrine cell differentiation ; positive regulation of cell differentiation ; positive regulation of transcription by RNA polymerase II ; proximal/distal pattern formation ; regulation of transcription by RNA polymerase II ; subpallium development ,chromatin ; nucleus ,"chromatin binding ; DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific double-stranded DNA binding ; single-stranded RNA binding ; transcription cis-regulatory region binding ",Distal-less homeobox family
DLX3,blood vessel development ; BMP signaling pathway ; embryonic skeletal system development ; epithelial cell differentiation ; gene expression ; hair cell differentiation ; hair follicle cell proliferation ; hair follicle morphogenesis ; odontoblast differentiation ; odontogenesis of dentin-containing tooth ; placenta development ; positive regulation of transcription by RNA polymerase II ; regulation of transcription by RNA polymerase II ; Wnt signaling pathway ,chromatin ; cytoplasm ; nucleus ,"chromatin binding ; DNA binding ; DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific double-stranded DNA binding ; transcription cis-regulatory region binding ",Distal-less homeobox family
DLX4,cell differentiation ; embryonic skeletal system development ; negative regulation of transcription by RNA polymerase II ; regulation of DNA-templated transcription ; regulation of transcription by RNA polymerase II ,chromatin ; nucleoplasm ; nucleus ,"DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; DNA-binding transcription repressor activity, RNA polymerase II-specific ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific DNA binding ; sequence-specific double-stranded DNA binding ",Distal-less homeobox family
BP1,cell differentiation ; embryonic skeletal system development ; negative regulation of transcription by RNA polymerase II ; regulation of DNA-templated transcription ; regulation of transcription by RNA polymerase II ,chromatin ; nucleoplasm ; nucleus ,"DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; DNA-binding transcription repressor activity, RNA polymerase II-specific ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific DNA binding ; sequence-specific double-stranded DNA binding ",Distal-less homeobox family
DLX7,cell differentiation ; embryonic skeletal system development ; negative regulation of transcription by RNA polymerase II ; regulation of DNA-templated transcription ; regulation of transcription by RNA polymerase II ,chromatin ; nucleoplasm ; nucleus ,"DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; DNA-binding transcription repressor activity, RNA polymerase II-specific ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific DNA binding ; sequence-specific double-stranded DNA binding ",Distal-less homeobox family
DLX8,cell differentiation ; embryonic skeletal system development ; negative regulation of transcription by RNA polymerase II ; regulation of DNA-templated transcription ; regulation of transcription by RNA polymerase II ,chromatin ; nucleoplasm ; nucleus ,"DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; DNA-binding transcription repressor activity, RNA polymerase II-specific ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific DNA binding ; sequence-specific double-stranded DNA binding ",Distal-less homeobox family
DLX9,cell differentiation ; embryonic skeletal system development ; negative regulation of transcription by RNA polymerase II ; regulation of DNA-templated transcription ; regulation of transcription by RNA polymerase II ,chromatin ; nucleoplasm ; nucleus ,"DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; DNA-binding transcription repressor activity, RNA polymerase II-specific ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific DNA binding ; sequence-specific double-stranded DNA binding ",Distal-less homeobox family
DLX5,anatomical structure formation involved in morphogenesis ; BMP signaling pathway ; cell differentiation ; cell population proliferation ; embryonic limb morphogenesis ; embryonic skeletal system development ; endochondral ossification ; epithelial cell differentiation ; face morphogenesis ; inner ear morphogenesis ; interneuron axon guidance ; nervous system development ; olfactory bulb interneuron differentiation ; olfactory pit development ; osteoblast differentiation ; positive regulation of canonical Wnt signaling pathway ; positive regulation of DNA-templated transcription ; positive regulation of epithelial cell proliferation ; positive regulation of gene expression ; positive regulation of transcription by RNA polymerase II ; regulation of transcription by RNA polymerase II ; roof of mouth development ; skeletal system development ,chromatin ; cytoplasm ; nucleus ,"DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity, RNA polymerase II-specific ; HMG box domain binding ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific double-stranded DNA binding ; transcription cis-regulatory region binding ",Distal-less homeobox family
DLX6,anatomical structure formation involved in morphogenesis ; cell differentiation ; embryonic limb morphogenesis ; embryonic skeletal system development ; epithelial cell differentiation ; head development ; inner ear morphogenesis ; nervous system development ; positive regulation of epithelial cell proliferation ; regulation of transcription by RNA polymerase II ; roof of mouth development ; skeletal system development ,chromatin ; nucleus ,"DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific double-stranded DNA binding ",Distal-less homeobox family
